,tweet,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,sentiment
101,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
102,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
103,mgrseedsavers important read national biodiversity week irishenvnet httpstcofskix8jpb,15,127,8.692307692307692,1,0,0,1,0.4
104,wpc2022ireland bordbia congratulation launch wpc2022ireland,9,100,10.222222222222221,2,1,0,0,0.0
105,allowdale allforshow regulator dont regulate systemic failure ccpcireland eu_competition,17,140,7.294117647058823,3,1,0,1,-0.3166666666666667
106,hsa launch online course seasonal worker horticulture read httpstcolkzjtaexj httpstcotqw28zbs6z,13,129,8.214285714285714,3,0,0,1,0.0
107,minister announced 20000 investment irish agricultural showing scene next five ye,20,140,6.05,6,0,0,1,0.0
108,thanks coorganisers seaweedireland nuanamara ireland booth sponsor marineinst bordiascmhara httpstco0xcmqemabj,13,132,9.23076923076923,3,1,0,0,0.2
109,deardolores let u hope alongside showcasing ireland best beef breeding heifer agricultur,17,140,7.235294117647059,2,0,0,1,1.0
110,let u hope alongside showcasing ireland best beef breeding heifer httpstco9clvcyntvr,15,134,8.0,2,0,0,0,1.0
111,let u hope alongside showcasing ireland best beef breeding heifer httpstcojfxwosrel0,15,134,8.0,2,0,0,0,1.0
112,minister announced 20000 investment irish agricultural showing scene next five ye,20,140,6.05,6,0,0,1,0.0
113,allforshow regulator dont regulate systemic failure ccpcireland httpstcobo2cqqddh8,15,133,7.933333333333334,3,1,0,0,-0.3166666666666667
114,dobetterdd dublinspca fingalcoco cost local authority average 700800 seize horse httpstcomcqx4y4nv,16,140,7.8125,3,0,0,0,-0.075
115,animallawie dublinspca fingalcoco thats big notice period surily unannounced visit w httpstcoqdjpim7uew,16,140,7.8125,3,0,0,0,0.0
116,important read national biodiversity week irishenvnet httpstcofskix8jpb,13,108,8.727272727272727,1,0,0,0,0.4
117,irishseedsavers madsmckeever irishseedbank irishseedtrade fruithillfarm keelingsfruits nbgglasnevin httpstcowjjz961wiu,8,131,15.5,0,0,0,0,0.0
118,sinabhfuil madsmckeever irishseedbank irishseedtrade fruithillfarm keelingsfruits nbgglasnevin conserva httpstcoyamhpknsfz,10,140,13.1,0,0,0,0,0.0
119,eoinllewellyn keep messaging ifamedia farmersjournal farmer ireland head san,19,140,6.777777777777778,5,0,0,2,0.0
120,tjmcintyre lumendatabase going able keep sharing data without consent without valid httpstcoc96eywdqqk,18,140,6.833333333333333,3,0,0,0,0.5
121,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
122,seewilkie dublincaro omey island,6,66,10.166666666666666,0,0,0,0,0.0
123,gailhunt animalwelfareie banbloodsports watch_welfare horseslaughter_ banhorseracingi httpstcopccnrdp4q3,8,133,15.75,0,0,0,0,0.0
124,seewilkie dublincaro lovely moocow,7,70,9.142857142857142,0,0,0,0,0.5
125,rayofoghlu dublincaro disturbance would big factor sure historical nu httpstcoyjqntvdyju,16,140,7.8125,3,0,0,0,0.16666666666666666
126,seewilkie dublincaro might bit premature ask suspect httpstco2bopkrpyn,18,140,6.833333333333333,7,0,0,0,0.0
127,inis bo finne close guess bo dea telling lifeonmachair bee httpstcof8khq7gkpv,24,140,4.875,8,1,0,1,0.0
128,mick_gaffney job alert beyond peat looking recruit 48 month term postdoctoral candi,22,140,5.409090909090909,4,0,1,1,0.0
129,2mediatrap amelia kobzda alison flood julia kurpis dagmara pasieka group 1st 3rd year colaiste chiarain athl,16,140,6.421052631578948,0,0,0,1,0.0
130,naturenymph birdwatchie video explaining rodenticides effect wild bird bird prey know smaller bir,22,140,5.409090909090909,7,0,0,1,0.05
131,epacatchments next speaker dr leanne roche regulation incentive industry role play,21,139,5.571428571428571,7,0,0,1,0.0
132,1000 school took part final 10 vote follow u twitter andor facebook,22,139,4.75,7,0,0,1,0.0
133,farmers4safety exciting news coming way stay tuned find eipagri bride_project dunc,20,140,6.05,5,1,0,2,0.3
134,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
135,farmers4safety exciting news coming way stay tuned find eipagri bride_project dunc,20,140,6.05,5,1,0,2,0.3
136,exciting news coming way stay tuned find eipagri bride_project httpstcogtrbrdla6,18,138,6.722222222222222,5,1,0,1,0.3
137,ajwwoods big money coming summer show 20000 funding breeder choice class heifer must g,22,140,5.409090909090909,6,0,0,1,0.0
138,ajwwoods big money coming summer show 20000 funding breeder choice class heifer must g,22,140,5.409090909090909,6,0,0,1,0.0
139,big money coming summer show 20000 funding breeder choice class heifer httpstcozcmfczrv2k,18,140,6.833333333333333,5,0,0,0,0.0
140,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
141,epacatchments next speaker dr leanne roche regulation incentive industry role play,21,139,5.571428571428571,7,0,0,1,0.0
142,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
143,jp_archscape designed organic edible show garden garden demonstrates step c httpstco7nj4unjyh,17,140,7.294117647058823,4,0,0,0,0.0
144,biodatacentre hosting monthlong virtual festival farmland biodiversity may focus challe,20,140,6.05,7,0,0,1,0.0
145,ccwpeatlands ruralnetwork rtejr midlands103 ifamedia farmersjournal httpstco97wdehlpas,9,131,13.666666666666666,0,0,0,0,0.0
146,1000 school took part final 10 vote follow u twitter andor facebook,22,139,4.75,7,0,0,1,0.0
147,8love past seize future james duffy group 1st year 3rd year athlone community college athlone co w,19,140,5.409090909090909,0,0,0,2,-0.08333333333333333
148,h_dundon liamly window opportunity closing fast subsidy increase silage increase,21,140,5.714285714285714,6,1,0,1,0.2
149,cliodhnamurphy1 full solidarity fisher protesting today call regularisation fisher move critical skill,20,140,6.05,7,0,0,1,0.175
150,mick_gaffney job alert beyond peat looking recruit 48 month term postdoctoral candi,22,140,5.409090909090909,4,0,1,1,0.0
151,research innovation core element foodvision2030 align impact2030 department give supp,18,140,6.368421052631579,6,2,0,1,0.0
152,mick_gaffney job alert beyond peat looking recruit 48 month term postdoctoral candi,22,140,5.409090909090909,4,0,1,1,0.0
153,farmers4safety delighted featured thatsfarming click link read article httpstcoyvqiuzecxw agricult,15,140,6.833333333333333,7,0,0,1,0.7
154,inhfa president vincent roddy warns currently applied policy preservation driven stagnationampthe ongoing httpstcomewsiuloga,16,143,8.0,3,0,0,1,0.0
155,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
156,dcuwater discussion progress measure made across agri sector protect improve waterquality epaireland teagas,20,140,6.05,6,1,0,1,0.0
157,dcuwater discussion progress measure made across agri sector protect improve waterquality epaireland teagas,20,140,6.05,6,1,0,1,0.0
158,discussion progress measure made across agri sector protect improve waterquality httpstcokiff4nkxnn,17,130,6.705882352941177,6,1,0,0,0.0
159,martinheydonfg warmly welcome publication simonharristd impact 2030 new national research innovation strategy,20,140,5.95,5,0,0,3,0.4681818181818182
160,martinheydonfg warmly welcome publication simonharristd impact 2030 new national research innovation strategy,20,140,5.95,5,0,0,3,0.4681818181818182
161,warmly welcome publication simonharristd impact 2030 new national research innovation strategy httpstcodmwak86eyl,18,140,6.833333333333333,5,0,0,1,0.4681818181818182
162,savourfood_ie tourismhospdept foodcloud supportive advice,6,77,12.0,0,0,0,0,0.5
163,research innovation core element foodvision2030 align impact2030 department give supp,18,140,6.368421052631579,6,2,0,1,0.0
164,research innovation core element foodvision2030 align impact2030 department give supp,18,140,6.368421052631579,6,2,0,1,0.0
165,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
166,siobhanoconnor3 17 month postdoc position open anyone interested farmer mental health help,21,140,5.714285714285714,5,0,1,1,0.049999999999999996
167,leafireland check 3 year anchoillbheag thomondcommcoll flourishing planted 2nd yr woodwork st,23,140,5.130434782608695,8,1,1,1,0.0
168,agriculture epawater2022 nitrate regulation incentive action presentation eu_env httpstcox9dubdpqgv,11,126,9.5,3,1,0,1,0.1
169,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
170,cliodhnamurphy1 full solidarity fisher protesting today call regularisation fisher move critical skill,20,140,6.05,7,0,0,1,0.175
171,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
172,new depthousingirl water eip 60 million funding year fund measure httpstcokhrdchle4g,19,137,6.2631578947368425,5,0,2,1,0.13636363636363635
173,,3,42,13.333333333333334,0,0,0,0,0.0
174,research innovation core element foodvision2030 align impact2030 department give supp,18,140,6.368421052631579,6,2,0,1,0.0
175,httpstcojipgkhqijx,3,56,18.0,0,0,0,0,0.0
176,inspiring thenk,6,57,8.666666666666666,2,0,0,0,0.5
177,nice work,4,42,9.75,0,0,0,0,0.6
178,like picture beautiful,10,77,6.8,3,0,0,1,0.85
179,amazing,3,71,23.0,0,0,0,0,0.6000000000000001
180,full solidarity fisher protesting today call regularisation fisher move critical ski httpstcoafjaeewwmu,19,140,6.421052631578948,7,0,0,0,0.175
181,minister announced 237m 2021 green lowcarbon agrienvironment scheme glas balancing payme,17,140,7.294117647058823,3,0,1,2,-0.2
182,leanne roche tighter nitrate regulation coming always derogation tagged httpstcohymyhp4abp,17,140,7.294117647058823,5,0,0,0,0.0
183,epacatchments next speaker dr leanne roche regulation incentive industry role play,21,139,5.571428571428571,7,0,0,1,0.0
184,next speaker dr leanne roche regulation incentive industry role httpstcoch1icfpn0,19,139,6.2631578947368425,6,0,0,0,0.0
185,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
186,athloneadvert ccathlone please vote simply liking james entry well done httpstcoszd2lktufm,15,139,8.333333333333334,1,0,0,0,0.0
187,8love past seize future james duffy group 1st year 3rd year athlone community college athlone co w,19,140,5.409090909090909,0,0,0,2,-0.08333333333333333
188,felixd0r ifamedia farmersjournal yes check httpstconq48wqiwe th httpstcowb8kjtjjnm,11,140,9.846153846153847,2,0,0,0,0.0
189,extremely promising see lnbdublin raising issue exoticpet trade positive list legislation th httpstcodrpijm64kq,19,140,6.421052631578948,6,1,0,0,0.21363636363636362
190,saveleitrim env_pillar ellamcsweeney citizassembly certainly large scale cumulative plantation forestry reducing biodive,16,140,7.8125,3,0,0,1,0.21428571428571427
191,siobhanoconnor3 17 month postdoc position open anyone interested farmer mental health help,21,140,5.714285714285714,5,0,1,1,0.049999999999999996
192,dept_transport merrionstreet response httpstcoxvxlkjfpo,6,89,11.714285714285714,0,0,0,0,0.0
193,dept_transport merrionstreet post new link response promoted tweet wit httpstcoelikcyx2xf,18,140,6.833333333333333,6,0,0,0,0.13636363636363635
